# qa/c9-mutations.tsv — named mutations per campaign-9 PR (source: tasks.md "Named mutations" + the RED headers).
# Columns (TAB): id  pr  file  fmt  suite  flips  anchor  kind  expr  note     — see qa/mutate.sh.
# kind=sed rows carry a CONTENT anchor (never a line number); mutate.sh refuses to apply when the anchor is absent
# and reports NO-OP when the sed changes nothing, so a speculative expr can never fake a flip.
# kind=manual rows name the mutation for code that does not exist until GREEN; apply by hand on the SAME detached
# worktree, run the same suite, paste the verbatim failure lines. Flips name the executable pins of the RED files,
# not the tasks.md prose where the two differ (noted).
M6a	PR6	Dashboard/DashboardPan/DashboardPan-ux/src/com/angeles/DashboardPan/ux/DashboardWriteGuards.java	junit	$QA/junit-run.sh Dashboard/DashboardPan/DashboardPan-ux com.angeles.DashboardPan.ux.DashboardWriteGuardsTest	guard4_,guard4b_	parseFiniteDouble	sed	s/!JsonUtil\.parseFiniteDouble\(([A-Za-z_]+)\)\.isPresent\(\)/false/	tasks 6.9 regression pin: the a109249 :274-288 numeric guard moved into evaluate(); disabled -> abc reaches parseDouble -> 0.0
M6b1	PR6b	Dashboard/DashboardPan/DashboardPan-ux/src/com/angeles/DashboardPan/ux/BDashboardServlet.java	junit	$QA/junit-run.sh Dashboard/DashboardPan/DashboardPan-ux com.angeles.DashboardPan.ux.ConfigLoginWiringTest	CLW4_	catch \(PermissionException	sed	s/catch \(PermissionException/catch (Exception/	tasks 6b.14(a): 403 becomes 500; structural pin reads the text
M6b2	PR6b	Dashboard/DashboardPan/DashboardPan-ux/src/com/angeles/DashboardPan/ux/BDashboardServlet.java	junit	$QA/junit-run.sh Dashboard/DashboardPan/DashboardPan-ux com.angeles.DashboardPan.ux.ConfigLoginWiringTest	CLW3_	parent\.set\(prop, toSet,	sed	s/parent\.set\(prop, toSet, [A-Za-z_][A-Za-z0-9_]*\)/parent.set(prop, toSet, null)/	tasks 6b.14(b): null-Context write back -> REMOVAL pin fails
M6b3	PR6b	Dashboard/DashboardPan/DashboardPan-ux/src/com/angeles/DashboardPan/ux/ConfigLoginGuard.java	junit	$QA/junit-run.sh Dashboard/DashboardPan/DashboardPan-ux com.angeles.DashboardPan.ux.ConfigLoginGuardTest	CL3_	authenticateFailed	sed	s/\.authenticateFailed\(\)/.hashCode()/	tasks 6b.14(c): lockout oracle
M7a	PR7	instalacion/pipeline/audit-mirror.mjs	node	node --test --test-reporter=tap --test-force-exit instalacion/pipeline/test/audit-mirror.test.mjs	MIR3	.	manual	key the dedupe on ts alone (drop user/target/old/new from the key)	tasks 7.7(a): same-tick records collapse
M7b	PR7	instalacion/pipeline/audit-mirror.mjs	node	node --test --test-reporter=tap --test-force-exit instalacion/pipeline/test/audit-mirror.test.mjs	MIR1	MIRROR_ENABLED	sed	s/(MIRROR_ENABLED[^;]*)false/\1true/	tasks 7.7(b): default ON -> readAuditHistory called
M8a	PR8	Paccadia/ColdRoomPan/ColdRoomPan-rt/src/com/angeles/ColdRoomPan/BEvaporatorUnit.java	junit	$QA/junit-run.sh Paccadia/ColdRoomPan/ColdRoomPan-rt com.angeles.ColdRoomPan.FreezeAlarmWiringTest	CRA3s_	alarmValue	sed	/alarmValue/s/true/false/	tasks 8.8: drop alarmValue=true
M9a	PR9	Compresores/CompPan/CompPan-rt/src/com/angeles/CompPan/CompressorControl.java	junit	$QA/junit-run.sh Compresores/CompPan/CompPan-rt com.angeles.CompPan.CompressorAlarmEdgeTest	CPB2_	nowOffnormal	manual	make decide level-triggered: FIRE whenever nowOffnormal (drop the !wasOffnormal edge condition)	tasks 9.7(a)
M9b	PR9	Compresores/CompPan/CompPan-rt/src/com/angeles/CompPan/BCompressorControl.java	junit	$QA/junit-run.sh Compresores/CompPan/CompPan-rt com.angeles.CompPan.CompressorAlarmWiringTest	CPB_W4_	reseed\(	sed	/\.reseed\(/d	tasks 9.7(b) names CPB4; the executable pin is CPB_W4 (wiring); pure CPB4 stays green
M10a	PR10	build-n4-module-kit/toolbelt/lint-ext-writable-shape.sh	bats	bats tests/ext-writable-shape.bats	EW3	NiagaraAction	manual	drop the @NiagaraAction exemption -> a clean complex-with-action slot starts WARNing	tasks 10.7 names EW1; EW1 is the WARN-expected setpoint pin, EW3 (clean_on_operator_statusnumeric_with_matching_action) is the pin that flips
M10b	PR10	build-n4-module-kit/toolbelt/lint-ext-writable-shape.sh	bats	bats tests/ext-writable-shape.bats	EW1,EW6	BStatus	manual	drop the BStatusX recognizer (treat a complex OPERATOR slot as plain) -> EW1/EW6 stop WARNing	RED header named mutation
M11a	PR11	docs/write-path-matrix.md	exit	$KIT/toolbelt/lint-write-path.sh Compresores/CompPan/CompPan-rt --matrix docs/write-path-matrix.md	exit	rotationInterval	sed	/rotationInterval/d	tasks 11.4: delete one row -> that slot FAILs -> exit 1
